,order_date,product_name,category,branch_store,quantity,sales_value,profit
0,2024-10-08,Water Blaster,Outdoor Toy,Jakarta Central,4,144000,19423
1,2025-03-08,Super Robot X,Action Figure,Medan Center,1,11000,1357
2,2024-07-22,Math Puzzle Cube,Educational Toy,Medan Center,12,1092000,300661
3,2025-08-26,Baby Joy,Doll,Yogyakarta Plaza,5,555000,176115
4,2024-10-11,Coding Robot,Educational Toy,Surabaya Mall,3,105000,35626
5,2025-01-24,Treasure Hunt,Board Game,Jakarta Central,2,106000,33058
6,2025-04-15,City Construction Kit,Building Blocks,Jakarta Central,9,207000,71058
7,2024-10-27,Princess Bella,Doll,Medan Center,14,1232000,313704
8,2024-03-12,Kingdom Strategy,Board Game,Bali Beachwalk,1,92000,14441
9,2024-04-13,Treasure Hunt,Board Game,Bandung Square,7,301000,64219
10,2024-12-29,Kingdom Strategy,Board Game,Surabaya Mall,4,372000,62028
11,2025-10-12,Water Blaster,Outdoor Toy,Medan Center,3,228000,64360
12,2024-10-03,Coding Robot,Educational Toy,Yogyakarta Plaza,15,1335000,363174
13,2024-08-22,Alphabet Blocks,Educational Toy,Jakarta Central,14,168000,50611
14,2024-08-04,Fashion Star,Doll,Jakarta Central,15,1200000,382910
15,2025-05-26,Kingdom Strategy,Board Game,Bali Beachwalk,7,630000,135269
16,2025-07-28,Kingdom Strategy,Board Game,Bandung Square,9,369000,105812
17,2024-08-12,Dream House Doll,Doll,Surabaya Mall,3,219000,48919
18,2025-10-04,Super Robot X,Action Figure,Bandung Square,3,327000,88329
19,2025-01-25,Creative Bricks Set,Building Blocks,Yogyakarta Plaza,10,670000,155626
20,2024-04-27,Creative Bricks Set,Building Blocks,Bali Beachwalk,11,836000,240533
21,2024-10-27,Bubble Machine,Outdoor Toy,Jakarta Central,7,196000,41832
22,2024-07-01,Bubble Machine,Outdoor Toy,Medan Center,9,189000,60032
23,2025-01-17,Kingdom Strategy,Board Game,Bandung Square,13,364000,85483
24,2024-11-27,Creative Bricks Set,Building Blocks,Medan Center,8,80000,10237
25,2024-02-29,Mystery Mansion,Board Game,Bandung Square,4,480000,116082
26,2025-05-12,Super Robot X,Action Figure,Bali Beachwalk,14,224000,77167
27,2025-11-06,Mega Builder,Building Blocks,Bandung Square,8,624000,88159
28,2025-07-06,Space Blocks,Building Blocks,Bandung Square,13,1313000,357749
29,2025-11-18,Bubble Machine,Outdoor Toy,Yogyakarta Plaza,11,605000,126762
30,2024-09-10,Space Blocks,Building Blocks,Jakarta Central,4,64000,11809
31,2024-08-13,Mega Builder,Building Blocks,Medan Center,1,17000,4708
32,2024-02-02,Galaxy Warrior,Action Figure,Jakarta Central,14,700000,82400
33,2025-05-12,Alphabet Blocks,Educational Toy,Bali Beachwalk,4,308000,40988
34,2025-04-29,Space Blocks,Building Blocks,Bandung Square,13,780000,115129
35,2025-03-09,Dragon Defender,Action Figure,Surabaya Mall,7,469000,148184
36,2025-02-16,Super Robot X,Action Figure,Jakarta Central,12,612000,183690
37,2024-07-13,Galaxy Warrior,Action Figure,Bandung Square,9,585000,79001
38,2024-09-12,Alphabet Blocks,Educational Toy,Yogyakarta Plaza,14,238000,50166
39,2025-10-29,Creative Bricks Set,Building Blocks,Jakarta Central,9,1035000,107318
40,2025-02-20,Galaxy Warrior,Action Figure,Bandung Square,8,552000,84697
41,2025-01-23,Princess Bella,Doll,Bandung Square,1,57000,9479
42,2025-12-14,Fashion Star,Doll,Yogyakarta Plaza,12,1296000,309668
43,2024-07-13,Flying Disc,Outdoor Toy,Bandung Square,5,175000,59881
44,2024-11-17,Creative Bricks Set,Building Blocks,Bali Beachwalk,1,14000,3444
45,2025-06-04,Mega Builder,Building Blocks,Jakarta Central,2,232000,33977
46,2024-08-28,Creative Bricks Set,Building Blocks,Bali Beachwalk,7,161000,53999
47,2025-08-31,Mega Builder,Building Blocks,Medan Center,1,87000,10483
48,2024-07-28,Bubble Machine,Outdoor Toy,Surabaya Mall,11,1089000,194436
49,2025-11-18,Word Challenge,Board Game,Bandung Square,11,506000,108438
50,2025-09-28,Super Robot X,Action Figure,Yogyakarta Plaza,10,200000,23663
51,2024-12-23,Alphabet Blocks,Educational Toy,Bandung Square,15,240000,76756
52,2025-03-24,Mystery Mansion,Board Game,Bandung Square,14,1078000,297404
53,2025-07-21,Creative Bricks Set,Building Blocks,Bali Beachwalk,5,460000,57912
54,2024-04-19,Alphabet Blocks,Educational Toy,Jakarta Central,12,936000,129974
55,2024-12-17,Kingdom Strategy,Board Game,Bali Beachwalk,4,380000,98252
56,2024-02-22,Word Challenge,Board Game,Surabaya Mall,2,178000,36649
57,2024-12-07,Treasure Hunt,Board Game,Jakarta Central,13,312000,80894
58,2025-03-28,Kingdom Strategy,Board Game,Bali Beachwalk,9,882000,182504
59,2025-12-08,Super Robot X,Action Figure,Jakarta Central,15,405000,95741
60,2024-05-10,Kingdom Strategy,Board Game,Yogyakarta Plaza,1,47000,8984
61,2025-11-29,Mini Ninja Hero,Action Figure,Bandung Square,4,372000,46759
62,2024-06-07,Space Blocks,Building Blocks,Medan Center,15,570000,180206
63,2024-07-02,Coding Robot,Educational Toy,Jakarta Central,12,600000,177357
64,2024-06-12,Baby Joy,Doll,Surabaya Mall,13,1261000,160177
65,2024-07-23,Dragon Defender,Action Figure,Bandung Square,14,924000,173171
66,2025-11-06,Science Lab Kit,Educational Toy,Jakarta Central,4,236000,42967
67,2025-10-18,Mini Ninja Hero,Action Figure,Surabaya Mall,9,531000,143306
68,2024-04-28,City Construction Kit,Building Blocks,Jakarta Central,15,615000,88954
69,2025-09-02,Treasure Hunt,Board Game,Jakarta Central,7,364000,102697
70,2025-06-07,Word Challenge,Board Game,Medan Center,2,114000,37035
71,2025-12-26,Alphabet Blocks,Educational Toy,Jakarta Central,7,56000,12878
72,2025-03-17,Mega Builder,Building Blocks,Surabaya Mall,2,186000,61415
73,2024-05-07,City Construction Kit,Building Blocks,Bali Beachwalk,12,552000,125182
74,2025-02-16,Flying Disc,Outdoor Toy,Surabaya Mall,12,540000,128845
75,2025-01-23,Coding Robot,Educational Toy,Bali Beachwalk,11,1133000,369019
76,2025-07-15,City Construction Kit,Building Blocks,Yogyakarta Plaza,14,112000,19708
77,2025-09-13,Coding Robot,Educational Toy,Medan Center,11,539000,116557
78,2025-04-29,Baby Joy,Doll,Medan Center,13,1417000,402414
79,2025-06-11,Water Blaster,Outdoor Toy,Surabaya Mall,11,979000,249464
80,2024-11-13,Galaxy Warrior,Action Figure,Bali Beachwalk,4,444000,66503
81,2025-05-01,Super Robot X,Action Figure,Bandung Square,10,1160000,338861
82,2025-08-12,Dream House Doll,Doll,Bali Beachwalk,4,396000,108539
83,2024-05-31,Dream House Doll,Doll,Bandung Square,11,1056000,107063
84,2024-06-29,Dragon Defender,Action Figure,Bandung Square,13,1261000,289386
85,2025-04-12,Galaxy Warrior,Action Figure,Jakarta Central,3,330000,71333
86,2025-09-19,City Construction Kit,Building Blocks,Yogyakarta Plaza,14,1400000,452207
87,2025-05-01,Dream House Doll,Doll,Bandung Square,8,328000,94445
88,2025-05-11,Bubble Machine,Outdoor Toy,Medan Center,11,418000,70495
89,2024-10-05,Mini Ninja Hero,Action Figure,Bandung Square,6,288000,93097
90,2024-08-24,Galaxy Warrior,Action Figure,Bandung Square,7,672000,92871
91,2025-02-21,Math Puzzle Cube,Educational Toy,Yogyakarta Plaza,6,462000,100014
92,2025-02-02,Galaxy Warrior,Action Figure,Yogyakarta Plaza,15,1590000,391171
93,2025-01-24,Water Blaster,Outdoor Toy,Medan Center,8,64000,21483
94,2025-07-05,Word Challenge,Board Game,Yogyakarta Plaza,12,1224000,289516
95,2024-08-12,Mega Builder,Building Blocks,Yogyakarta Plaza,5,315000,69744
96,2025-11-26,Fashion Star,Doll,Bali Beachwalk,13,767000,215561
97,2025-06-30,Baby Joy,Doll,Medan Center,1,58000,14382
98,2025-10-20,Water Blaster,Outdoor Toy,Jakarta Central,7,175000,55424
99,2025-01-23,Math Puzzle Cube,Educational Toy,Surabaya Mall,6,210000,44871
100,2025-03-07,Word Challenge,Board Game,Surabaya Mall,5,570000,68671
101,2024-08-17,Super Robot X,Action Figure,Surabaya Mall,11,176000,51974
102,2024-09-10,Water Blaster,Outdoor Toy,Jakarta Central,4,460000,48343
103,2025-04-29,Science Lab Kit,Educational Toy,Bandung Square,11,242000,58320
104,2024-09-19,Coding Robot,Educational Toy,Bali Beachwalk,13,715000,101492
105,2024-11-14,Creative Bricks Set,Building Blocks,Bandung Square,2,164000,17452
106,2024-07-22,Word Challenge,Board Game,Yogyakarta Plaza,2,166000,45260
107,2025-12-14,Kids Basketball Hoop,Outdoor Toy,Jakarta Central,13,598000,186918
108,2024-02-12,Creative Bricks Set,Building Blocks,Medan Center,6,456000,94435
109,2025-10-25,Treasure Hunt,Board Game,Medan Center,6,54000,16869
110,2025-01-05,Princess Bella,Doll,Yogyakarta Plaza,11,1254000,269528
111,2025-06-18,Coding Robot,Educational Toy,Bandung Square,11,462000,117337
112,2025-03-22,Space Blocks,Building Blocks,Yogyakarta Plaza,14,1414000,350839
113,2024-10-12,Kingdom Strategy,Board Game,Jakarta Central,15,975000,156941
114,2024-01-30,Dream House Doll,Doll,Surabaya Mall,8,928000,168203
115,2024-09-21,Baby Joy,Doll,Surabaya Mall,6,258000,82580
116,2024-01-11,Bubble Machine,Outdoor Toy,Medan Center,9,288000,34964
117,2025-07-22,Flying Disc,Outdoor Toy,Yogyakarta Plaza,13,494000,134690
118,2024-01-18,Flying Disc,Outdoor Toy,Yogyakarta Plaza,2,90000,13985
119,2025-11-10,Kids Basketball Hoop,Outdoor Toy,Surabaya Mall,10,550000,120073
120,2025-07-17,City Construction Kit,Building Blocks,Yogyakarta Plaza,6,318000,87676
121,2024-08-24,Mystery Mansion,Board Game,Surabaya Mall,2,200000,29629
122,2024-08-09,Galaxy Warrior,Action Figure,Bandung Square,12,828000,140035
123,2024-07-17,City Construction Kit,Building Blocks,Jakarta Central,5,185000,35190
124,2025-06-30,Treasure Hunt,Board Game,Bali Beachwalk,3,129000,14367
125,2024-05-09,Mini Ninja Hero,Action Figure,Bali Beachwalk,11,1309000,377251
126,2024-10-18,Super Robot X,Action Figure,Medan Center,8,552000,115984
127,2025-05-04,Math Puzzle Cube,Educational Toy,Surabaya Mall,2,226000,26291
128,2025-10-06,Princess Bella,Doll,Medan Center,11,154000,21241
129,2024-09-11,City Construction Kit,Building Blocks,Jakarta Central,2,158000,45995
130,2025-01-24,Mega Builder,Building Blocks,Medan Center,8,512000,89261
131,2025-08-05,Space Blocks,Building Blocks,Surabaya Mall,10,150000,37861
132,2025-10-02,Water Blaster,Outdoor Toy,Bandung Square,4,164000,43477
133,2025-07-19,Science Lab Kit,Educational Toy,Bandung Square,2,56000,5637
134,2024-02-03,Dream House Doll,Doll,Surabaya Mall,4,176000,48706
135,2025-12-04,Flying Disc,Outdoor Toy,Jakarta Central,4,164000,48700
136,2024-04-27,Kids Basketball Hoop,Outdoor Toy,Yogyakarta Plaza,9,324000,84858
137,2024-03-02,Kingdom Strategy,Board Game,Jakarta Central,3,327000,57847
138,2024-05-07,Bubble Machine,Outdoor Toy,Yogyakarta Plaza,8,768000,135185
139,2025-07-06,Fashion Star,Doll,Medan Center,8,512000,61496
140,2024-11-26,Dragon Defender,Action Figure,Bali Beachwalk,10,400000,42586
141,2024-10-02,Math Puzzle Cube,Educational Toy,Bali Beachwalk,10,130000,37801
142,2025-10-29,Coding Robot,Educational Toy,Medan Center,8,344000,50008
143,2025-05-18,Space Blocks,Building Blocks,Bali Beachwalk,2,136000,25430
144,2024-04-17,Mystery Mansion,Board Game,Bali Beachwalk,14,392000,71520
145,2025-11-09,Flying Disc,Outdoor Toy,Surabaya Mall,7,784000,227457
146,2024-11-18,Dragon Defender,Action Figure,Jakarta Central,5,245000,31600
147,2025-07-09,Princess Bella,Doll,Bali Beachwalk,8,480000,54504
148,2025-05-25,City Construction Kit,Building Blocks,Medan Center,11,704000,204158
149,2024-05-14,Alphabet Blocks,Educational Toy,Medan Center,15,660000,138289
150,2024-01-30,Flying Disc,Outdoor Toy,Jakarta Central,11,935000,280339
151,2025-07-18,Kids Basketball Hoop,Outdoor Toy,Surabaya Mall,1,78000,15755
152,2024-04-30,Math Puzzle Cube,Educational Toy,Yogyakarta Plaza,11,1254000,173669
153,2025-12-23,Bubble Machine,Outdoor Toy,Medan Center,5,305000,94147
154,2025-07-18,Baby Joy,Doll,Yogyakarta Plaza,3,171000,25248
155,2024-10-09,Mega Builder,Building Blocks,Jakarta Central,13,1417000,444375
156,2024-10-16,Mystery Mansion,Board Game,Jakarta Central,12,552000,170771
157,2025-04-02,Space Blocks,Building Blocks,Bandung Square,9,621000,115680
158,2024-11-25,Space Blocks,Building Blocks,Yogyakarta Plaza,14,448000,154646
159,2025-02-24,Coding Robot,Educational Toy,Bandung Square,1,48000,13736
160,2025-11-10,Flying Disc,Outdoor Toy,Yogyakarta Plaza,13,1469000,386353
161,2024-05-09,Coding Robot,Educational Toy,Jakarta Central,9,747000,136700
162,2025-06-22,Dragon Defender,Action Figure,Jakarta Central,15,990000,102798
163,2024-06-07,Coding Robot,Educational Toy,Bali Beachwalk,2,136000,40171
164,2025-12-10,Mystery Mansion,Board Game,Medan Center,7,637000,76490
165,2025-10-03,Word Challenge,Board Game,Surabaya Mall,12,1260000,279703
166,2024-03-11,Creative Bricks Set,Building Blocks,Medan Center,4,352000,95427
167,2024-04-02,Kingdom Strategy,Board Game,Bali Beachwalk,7,140000,40612
168,2024-06-19,Water Blaster,Outdoor Toy,Yogyakarta Plaza,12,552000,179872
169,2024-10-27,Mini Ninja Hero,Action Figure,Jakarta Central,6,330000,68531
170,2025-11-29,Coding Robot,Educational Toy,Medan Center,13,403000,57425
171,2025-11-30,Dragon Defender,Action Figure,Medan Center,4,284000,93210
172,2025-10-15,Science Lab Kit,Educational Toy,Yogyakarta Plaza,5,330000,54064
173,2025-11-24,Dragon Defender,Action Figure,Surabaya Mall,9,252000,29853
174,2025-03-10,Mystery Mansion,Board Game,Bali Beachwalk,12,480000,102820
175,2025-05-09,Kingdom Strategy,Board Game,Yogyakarta Plaza,2,76000,14845
176,2024-10-29,Mystery Mansion,Board Game,Bali Beachwalk,1,114000,30159
177,2025-12-03,Treasure Hunt,Board Game,Medan Center,13,1339000,459813
178,2024-08-23,Space Blocks,Building Blocks,Surabaya Mall,10,1100000,206888
179,2024-09-13,Kids Basketball Hoop,Outdoor Toy,Medan Center,11,1144000,320585
180,2024-04-09,Kids Basketball Hoop,Outdoor Toy,Bali Beachwalk,15,1320000,345292
181,2025-08-16,Word Challenge,Board Game,Jakarta Central,6,606000,80508
182,2025-03-01,Mystery Mansion,Board Game,Bali Beachwalk,3,99000,13170
183,2025-05-28,City Construction Kit,Building Blocks,Medan Center,15,630000,193799
184,2024-12-12,Word Challenge,Board Game,Surabaya Mall,13,286000,62085
185,2025-11-23,Galaxy Warrior,Action Figure,Bandung Square,12,1128000,389143
186,2025-02-08,City Construction Kit,Building Blocks,Jakarta Central,1,41000,9599
187,2025-11-19,Fashion Star,Doll,Bali Beachwalk,5,410000,80055
188,2025-11-22,Bubble Machine,Outdoor Toy,Jakarta Central,4,272000,28901
189,2024-08-14,City Construction Kit,Building Blocks,Medan Center,11,176000,45557
190,2025-02-22,Fashion Star,Doll,Bali Beachwalk,2,50000,5566
191,2024-04-28,Mini Ninja Hero,Action Figure,Yogyakarta Plaza,2,76000,24457
192,2025-01-14,Coding Robot,Educational Toy,Yogyakarta Plaza,11,1133000,310579
193,2024-06-07,Space Blocks,Building Blocks,Medan Center,15,915000,241313
194,2024-02-03,Dream House Doll,Doll,Surabaya Mall,12,660000,101849
195,2024-04-11,Baby Joy,Doll,Surabaya Mall,11,605000,142850
196,2025-02-11,Bubble Machine,Outdoor Toy,Jakarta Central,5,160000,54728
197,2024-08-05,Princess Bella,Doll,Bali Beachwalk,11,979000,244051
198,2024-09-06,Super Robot X,Action Figure,Surabaya Mall,3,324000,78130
199,2024-08-09,Galaxy Warrior,Action Figure,Medan Center,14,1666000,263643
200,2024-05-28,Math Puzzle Cube,Educational Toy,Surabaya Mall,3,231000,37575
201,2024-01-27,Math Puzzle Cube,Educational Toy,Bali Beachwalk,3,27000,5118
202,2024-06-27,Alphabet Blocks,Educational Toy,Jakarta Central,5,70000,9218
203,2024-03-06,Princess Bella,Doll,Bali Beachwalk,8,520000,153142
204,2025-05-30,Creative Bricks Set,Building Blocks,Yogyakarta Plaza,4,344000,38129
205,2025-10-20,Bubble Machine,Outdoor Toy,Yogyakarta Plaza,1,15000,5244
206,2024-04-20,Dream House Doll,Doll,Bali Beachwalk,8,792000,259320
207,2025-09-14,Super Robot X,Action Figure,Surabaya Mall,3,48000,6314
208,2025-09-03,City Construction Kit,Building Blocks,Yogyakarta Plaza,9,405000,86438
209,2025-12-19,Space Blocks,Building Blocks,Jakarta Central,2,234000,61700
210,2025-04-07,Mega Builder,Building Blocks,Yogyakarta Plaza,15,555000,112916
211,2024-04-07,Dream House Doll,Doll,Yogyakarta Plaza,6,372000,66264
212,2025-12-04,Mystery Mansion,Board Game,Bandung Square,15,1020000,119118
213,2024-04-08,Super Robot X,Action Figure,Yogyakarta Plaza,12,1224000,236429
214,2025-07-29,Math Puzzle Cube,Educational Toy,Medan Center,9,450000,120376
215,2025-03-09,Fashion Star,Doll,Bali Beachwalk,14,1400000,158006
216,2024-04-16,Mystery Mansion,Board Game,Surabaya Mall,10,720000,110292
217,2024-04-20,Flying Disc,Outdoor Toy,Bandung Square,6,696000,166390
218,2024-08-19,Mini Ninja Hero,Action Figure,Medan Center,13,806000,250898
219,2025-11-04,Creative Bricks Set,Building Blocks,Medan Center,14,1344000,224262
220,2024-11-12,Alphabet Blocks,Educational Toy,Bali Beachwalk,15,765000,143633
221,2025-11-04,Science Lab Kit,Educational Toy,Medan Center,7,112000,15172
222,2025-06-27,Water Blaster,Outdoor Toy,Jakarta Central,4,224000,45910
223,2024-11-15,Kingdom Strategy,Board Game,Surabaya Mall,12,588000,172994
224,2024-06-08,Creative Bricks Set,Building Blocks,Jakarta Central,3,312000,79391
225,2025-03-29,Water Blaster,Outdoor Toy,Surabaya Mall,11,682000,151005
226,2024-08-08,Dream House Doll,Doll,Surabaya Mall,13,949000,121903
227,2025-11-25,Princess Bella,Doll,Surabaya Mall,11,913000,202373
228,2024-08-13,Bubble Machine,Outdoor Toy,Jakarta Central,7,588000,66852
229,2024-05-20,Alphabet Blocks,Educational Toy,Bandung Square,13,520000,89628
230,2025-03-16,Super Robot X,Action Figure,Yogyakarta Plaza,3,72000,14043
231,2025-07-26,Kids Basketball Hoop,Outdoor Toy,Medan Center,14,1302000,392618
232,2024-02-13,Dragon Defender,Action Figure,Bali Beachwalk,7,70000,15045
233,2025-03-15,Mini Ninja Hero,Action Figure,Medan Center,10,590000,163651
234,2025-02-18,Fashion Star,Doll,Jakarta Central,1,49000,7005
235,2025-01-05,Space Blocks,Building Blocks,Bali Beachwalk,2,126000,39201
236,2025-02-14,Coding Robot,Educational Toy,Medan Center,9,162000,32228
237,2024-12-07,Mystery Mansion,Board Game,Bandung Square,13,377000,44898
238,2025-06-06,Water Blaster,Outdoor Toy,Medan Center,4,428000,80183
239,2024-04-15,Kids Basketball Hoop,Outdoor Toy,Bandung Square,3,120000,17918
240,2024-03-18,Mega Builder,Building Blocks,Bali Beachwalk,3,318000,81721
241,2025-08-01,Dream House Doll,Doll,Bali Beachwalk,11,979000,339353
242,2025-03-26,Mystery Mansion,Board Game,Bandung Square,2,136000,28635
243,2024-02-27,Mystery Mansion,Board Game,Medan Center,6,432000,51212
244,2024-02-28,Dream House Doll,Doll,Jakarta Central,6,684000,117490
245,2025-08-31,Water Blaster,Outdoor Toy,Medan Center,9,513000,110642
246,2025-08-08,Creative Bricks Set,Building Blocks,Yogyakarta Plaza,11,352000,63494
247,2025-04-06,Baby Joy,Doll,Jakarta Central,2,222000,72101
248,2025-10-23,Treasure Hunt,Board Game,Medan Center,3,39000,6315
